date,usdjpy
08-Nov,145.3425
09-Nov,146.197
10-Nov,141.6375
11-Nov,138.8
12-Nov,138.815
13-Nov,139.5775
14-Nov,140.1275
15-Nov,138.8675
16-Nov,139.3125
17-Nov,140.3745
18-Nov,140.345
19-Nov,140.345
20-Nov,140.279
21-Nov,142.1435
22-Nov,141.1625
23-Nov,139.332
24-Nov,138.598
25-Nov,139.125
26-Nov,139.125
27-Nov,139.364
28-Nov,138.7525
29-Nov,138.7455
30-Nov,137.4255
01-Dec,135.169
02-Dec,134.315
03-Dec,134.315
04-Dec,134.4865
05-Dec,136.6635
06-Dec,136.9175
07-Dec,136.3845
08-Dec,136.6175
09-Dec,136.565
10-Dec,136.58
11-Dec,136.7165
12-Dec,137.5065
13-Dec,135.5885
14-Dec,135.361
15-Dec,137.7525
16-Dec,136.705
17-Dec,136.715
18-Dec,136.5575
19-Dec,136.982
20-Dec,131.897
21-Dec,132.375
22-Dec,132.36
23-Dec,132.765
24-Dec,132.765
25-Dec,132.825
26-Dec,132.764
27-Dec,133.489
28-Dec,134.055
29-Dec,132.945
30-Dec,131.115
